Data Extract: data for one segment with characteristics given in cells N3:O10,,,,,,,,,,,,,,,,,
Tier,FICO,Approve Date,Term,Amount,Previous Rate,Car  Type,Competition Rate,Outcome,Rate,Cost of Funds,Partner Bin,,,,,,
2,702,10/26/02,60,18000, ,U,5.40,0,5.25,1.82,3,,,,,,
2,701,10/28/02,60,23978, ,U,5.40,1,5.25,1.80,1,,,,,,
2,703,10/28/02,60,23687, ,U,5.40,1,5.25,1.80,3,,,,,,
2,703,10/28/02,60,19350, ,U,5.40,1,5.25,1.80,1,,,,,,
2,700,10/28/02,60,24000, ,U,5.40,1,5.25,1.80,2,,,,,,
2,701,10/29/02,60,21520, ,U,5.40,1,5.25,1.79,3,,,,,,
3,689,10/30/02,60,21837, ,U,5.40,1,5.98,1.74,1,,,,,,
3,696,10/30/02,60,18600, ,U,5.40,1,6.14,1.74,3,,,,,,
3,689,10/30/02,60,22000, ,U,5.40,0,5.7,1.74,1,,,,,,
3,699,10/31/02,60,23716, ,U,5.40,1,6.14,1.72,3,,,,,,
3,689,11/2/02,60,20100, ,U,5.40,1,5.99,1.69,1,,,,,,
3,688,11/2/02,60,18166, ,U,5.40,1,5.64,1.69,1,,,,,,
2,706,11/3/02,60,23600, ,U,5.40,0,4.64,1.69,1,,,,,,
2,712,11/4/02,60,21213, ,U,5.40,1,5.14,1.65,1,,,,,,
3,698,11/5/02,60,25000, ,U,5.40,0,6.99,1.64,1,,,,,,
3,686,11/6/02,60,22000, ,U,5.40,0,5.99,1.63,1,,,,,,
3,698,11/6/02,60,23500, ,U,5.40,0,6.14,1.63,1,,,,,,
3,692,11/7/02,60,22000, ,U,5.40,0,5.98,1.38,3,,,,,,
2,702,11/9/02,60,20681, ,U,5.40,1,4.89,1.38,1,,,,,,
2,707,11/9/02,60,19958, ,U,5.40,1,5.14,1.38,1,,,,,,
2,704,11/10/02,60,18782, ,U,5.40,1,4.69,1.38,3,,,,,,
2,710,11/11/02,60,22807, ,U,5.40,1,4.59,1.38,3,,,,,,
2,708,11/12/02,60,24000, ,U,5.40,1,4.69,1.38,2,,,,,,
2,707,11/13/02,60,22513, ,U,5.40,1,4.59,1.38,2,,,,,,
3,699,11/13/02,60,22962, ,U,5.40,1,6.99,1.38,1,,,,,,
2,708,11/14/02,60,21304, ,U,5.40,1,4.64,1.38,1,,,,,,
3,696,11/15/02,60,19380, ,U,5.40,0,6.14,1.39,3,,,,,,
3,692,11/18/02,60,18816, ,U,5.40,1,6.99,1.39,1,,,,,,
3,693,11/19/02,60,25000, ,U,5.40,0,6.14,1.39,3,,,,,,
3,691,11/19/02,60,23000, ,U,5.40,0,5.59,1.39,1,,,,,,
2,705,11/19/02,60,19500, ,U,5.40,0,5.14,1.39,3,,,,,,
3,690,11/19/02,60,20500, ,U,5.40,0,6.14,1.39,3,,,,,,
2,701,11/25/02,60,18549, ,U,5.40,1,4.69,1.38,3,,,,,,
3,694,11/25/02,60,22000, ,U,5.40,0,5.59,1.38,1,,,,,,
3,696,11/27/02,60,22000, ,U,5.40,0,5.98,1.38,3,,,,,,
2,709,11/28/02,60,25000, ,U,5.40,1,4.99,1.44,1,,,,,,
3,688,12/1/02,60,21754, ,U,5.40,1,5.99,1.44,1,,,,,,
2,710,12/2/02,60,19000, ,U,5.40,1,4.99,1.44,1,,,,,,
2,707,12/2/02,60,25000, ,U,5.40,0,4.99,1.44,1,,,,,,
3,691,12/6/02,60,24000, ,U,5.40,1,5.98,1.43,3,,,,,,
2,703,12/7/02,60,19889, ,U,5.40,0,4.99,1.43,1,,,,,,
2,709,12/7/02,60,22081, ,U,5.40,1,4.99,1.43,1,,,,,,
2,707,12/9/02,60,24169, ,U,5.40,0,4.99,1.42,1,,,,,,
3,694,12/10/02,60,17836, ,U,5.40,1,5.7,1.42,1,,,,,,
2,707,12/10/02,60,22406, ,U,5.40,0,4.99,1.42,1,,,,,,
2,700,12/11/02,60,20000, ,U,5.40,0,4.99,1.42,1,,,,,,
3,688,12/21/02,60,24299, ,U,5.20,1,5.79,1.42,2,,,,,,
2,706,12/21/02,60,22649, ,U,5.20,1,4.79,1.42,3,,,,,,
2,702,12/22/02,60,18706, ,U,5.20,1,4.99,1.42,1,,,,,,
2,703,12/22/02,60,24377, ,U,5.20,1,4.99,1.42,1,,,,,,
2,709,12/26/02,60,18027, ,U,5.20,1,4.99,1.42,1,,,,,,
2,702,12/27/02,60,24663, ,U,5.20,1,4.79,1.42,3,,,,,,
2,700,12/27/02,60,18839, ,U,5.20,1,4.99,1.42,1,,,,,,
2,711,12/27/02,60,18591, ,U,5.20,1,4.95,1.42,3,,,,,,
3,686,12/29/02,60,22490, ,U,5.20,1,6.29,1.42,1,,,,,,
3,697,1/3/03,60,19409, ,U,5.20,1,5.99,1.38,1,,,,,,
2,706,1/6/03,60,17942, ,U,5.20,1,4.79,1.38,1,,,,,,
2,709,1/9/03,60,19581, ,U,5.20,1,4.99,1.38,1,,,,,,
2,704,1/13/03,60,21740, ,U,5.20,1,4.79,1.37,3,,,,,,
2,701,1/14/03,60,17915, ,U,5.20,1,4.85,1.37,1,,,,,,
3,699,1/14/03,60,22565, ,U,5.20,1,5.15,1.37,1,,,,,,
2,702,1/16/03,60,21175, ,U,5.20,1,4.85,1.36,3,,,,,,
2,706,1/17/03,60,18446, ,U,5.20,1,4.34,1.36,1,,,,,,
3,694,1/17/03,60,18299, ,U,5.20,1,5.15,1.36,3,,,,,,
3,692,1/19/03,60,17837, ,U,5.20,1,5.15,1.36,3,,,,,,
3,686,1/19/03,60,24060, ,U,5.20,1,5.15,1.36,2,,,,,,
3,686,1/19/03,60,23376, ,U,5.20,0,5.15,1.36,2,,,,,,
2,708,1/22/03,60,19291, ,U,5.20,1,4.85,1.36,1,,,,,,
3,692,1/23/03,60,19322, ,U,5.20,1,5.15,1.35,1,,,,,,
2,711,1/23/03,60,24443, ,U,5.20,1,4.85,1.35,2,,,,,,
3,691,1/25/03,60,23128, ,U,5.20,1,5.15,1.35,2,,,,,,
3,690,1/28/03,60,20255, ,U,5.20,1,5.15,1.34,2,,,,,,
3,696,1/27/03,60,19403, ,U,5.20,1,5.15,1.34,1,,,,,,
2,711,1/28/03,60,22734, ,U,5.20,1,4.85,1.34,3,,,,,,
2,711,1/29/03,60,19858, ,U,5.20,1,4.85,1.34,1,,,,,,
2,702,1/30/03,60,17815, ,U,5.20,1,4.85,1.34,1,,,,,,
2,708,2/2/03,60,20000, ,U,5.20,1,4.85,1.34,2,,,,,,
3,685,2/3/03,60,19776, ,U,5.20,1,5.15,1.34,2,,,,,,
2,706,2/4/03,60,18228, ,U,5.20,1,4.85,1.34,3,,,,,,
2,705,2/4/03,60,21060, ,U,5.20,1,4.85,1.34,3,,,,,,
3,697,2/5/03,60,21994, ,U,5.20,1,5.09,1.34,2,,,,,,
2,706,2/6/03,60,19245, ,U,5.20,1,4.85,1.34,1,,,,,,
2,708,2/7/03,60,22355, ,U,5.20,1,4.34,1.34,3,,,,,,
2,708,2/8/03,60,20170, ,U,5.20,1,4.34,1.34,1,,,,,,
2,708,2/9/03,60,24343, ,U,5.20,1,4.34,1.34,3,,,,,,
3,697,2/9/03,60,22060, ,U,5.20,1,5.15,1.34,2,,,,,,
2,709,2/10/03,60,21174, ,U,5.20,1,4.49,1.34,1,,,,,,
2,702,2/10/03,60,24925, ,U,5.20,1,4.34,1.34,2,,,,,,
2,702,2/12/03,60,20000, ,U,5.20,1,4.34,1.34,1,,,,,,
3,690,2/12/03,60,20776, ,U,5.20,1,5.15,1.34,3,,,,,,
3,693,2/12/03,60,20898, ,U,5.20,1,5.15,1.34,1,,,,,,
3,698,2/15/03,60,22915, ,U,4.69,1,5.15,1.34,3,,,,,,
3,697,2/15/03,60,21558, ,U,4.69,1,5.15,1.34,3,,,,,,
3,685,2/16/03,60,22784, ,U,4.69,1,5.15,1.34,1,,,,,,
2,701,2/20/03,60,25000, ,U,4.69,1,4.34,1.34,1,,,,,,
2,711,2/20/03,60,20703, ,U,4.69,1,4.34,1.34,2,,,,,,
2,712,2/21/03,60,18425, ,U,4.69,1,4.34,1.34,3,,,,,,
2,704,2/24/03,60,24000, ,U,4.69,1,4.64,1.34,2,,,,,,
2,702,2/24/03,60,21000, ,U,4.69,1,4.34,1.34,1,,,,,,
3,692,2/25/03,60,18531, ,U,4.69,1,5.15,1.34,1,,,,,,
2,710,2/25/03,60,19804, ,U,4.69,1,4.49,1.34,1,,,,,,
3,698,2/27/03,60,24000, ,U,4.69,1,5.15,1.34,3,,,,,,
3,694,2/27/03,60,22339, ,U,4.69,1,5.15,1.34,3,,,,,,
2,704,2/27/03,60,19597, ,U,4.69,1,4.64,1.34,3,,,,,,
2,705,2/27/03,60,24549, ,U,4.69,1,4.49,1.34,3,,,,,,
3,698,2/28/03,60,19177, ,U,4.69,1,5.15,1.34,1,,,,,,
3,695,3/1/03,60,19680, ,U,4.69,1,5.15,1.34,1,,,,,,
2,701,3/2/03,60,22001, ,U,4.69,1,4.49,1.34,3,,,,,,
2,705,3/1/03,60,19061, ,U,4.69,1,4.34,1.34,3,,,,,,
3,698,3/4/03,60,21863, ,U,4.69,1,5.15,1.33,1,,,,,,
2,708,3/5/03,60,19602, ,U,4.69,1,4.34,1.33,1,,,,,,
2,702,3/5/03,60,19154, ,U,4.69,1,4.34,1.33,3,,,,,,
3,699,3/7/03,60,18000, ,U,4.69,1,5.15,1.32,3,,,,,,
2,702,3/7/03,60,22721, ,U,4.69,1,4.34,1.32,1,,,,,,
2,702,3/8/03,60,18200, ,U,4.69,1,4.39,1.32,1,,,,,,
3,690,3/9/03,60,18345, ,U,4.69,1,5.15,1.32,1,,,,,,
3,684,3/9/03,60,22210, ,U,4.69,1,5.15,1.32,1,,,,,,
2,706,3/8/03,60,18054, ,U,4.69,1,4.34,1.32,3,,,,,,
2,708,3/9/03,60,18105, ,U,4.69,1,4.34,1.32,3,,,,,,
3,695,3/9/03,60,19841, ,U,4.69,1,5.15,1.32,1,,,,,,
2,703,3/10/03,60,20954, ,U,4.69,1,4.34,1.29,3,,,,,,
3,684,3/11/03,60,17991, ,U,4.69,1,5.09,1.27,1,,,,,,
3,692,3/11/03,60,23163, ,U,4.69,1,5.15,1.27,3,,,,,,
2,705,3/11/03,60,24500, ,U,4.69,1,4.08,1.27,1,,,,,,
3,687,3/12/03,60,20789, ,U,4.69,1,5.15,1.27,3,,,,,,
3,696,3/13/03,60,19977, ,U,4.69,1,5.15,1.28,1,,,,,,
2,701,3/14/03,60,19171, ,U,4.69,1,4.2,1.30,1,,,,,,
2,705,3/14/03,60,23500, ,U,4.69,1,4.49,1.30,3,,,,,,
3,690,3/17/03,60,19017, ,U,4.69,1,5.15,1.28,1,,,,,,
2,702,3/19/03,60,23924, ,U,4.69,1,4.85,1.30,1,,,,,,
2,707,3/21/03,60,23718, ,U,4.69,1,4.25,1.31,3,,,,,,
2,703,3/23/03,60,20615, ,U,4.69,1,4.35,1.31,1,,,,,,
3,698,3/24/03,60,22858, ,U,4.69,1,5.15,1.31,2,,,,,,
2,703,3/24/03,60,20348, ,U,4.69,1,4.49,1.31,3,,,,,,
3,697,3/24/03,60,20993, ,U,4.69,1,5.15,1.31,3,,,,,,
3,686,4/18/03,60,22770, ,U,4.69,1,5.15,1.32,3,,,,,,
2,702,3/26/03,60,25000, ,U,4.69,1,4.64,1.31,1,,,,,,
2,705,3/27/03,60,18668, ,U,4.69,1,4.35,1.31,1,,,,,,
3,689,3/29/03,60,25000, ,U,4.69,1,4.99,1.31,3,,,,,,
3,691,3/28/03,60,23000, ,U,4.69,1,5.15,1.31,3,,,,,,
3,699,3/29/03,60,22365, ,U,4.69,1,5.15,1.31,1,,,,,,
3,696,3/30/03,60,20000, ,U,4.69,1,5.15,1.31,3,,,,,,
2,704,3/31/03,60,23428, ,U,4.69,1,4.35,1.30,1,,,,,,
3,687,3/31/03,60,18200, ,U,4.69,1,4.99,1.30,1,,,,,,
3,687,3/31/03,60,19285, ,U,4.69,1,5.15,1.30,3,,,,,,
3,689,4/4/03,60,19183, ,U,4.69,1,5.15,1.30,1,,,,,,
2,710,4/8/03,60,21726, ,U,4.69,1,4.85,1.31,3,,,,,,
3,685,4/8/03,60,22600, ,U,4.69,1,4.65,1.31,2,,,,,,
2,711,4/10/03,60,22260, ,U,4.69,1,4.85,1.30,1,,,,,,
3,696,4/11/03,60,21722, ,U,4.69,1,5.15,1.31,3,,,,,,
3,699,4/15/03,60,20996, ,U,4.69,1,5.15,1.32,1,,,,,,
2,705,4/16/03,60,24329, ,U,4.69,1,4.35,1.33,3,,,,,,
2,705,4/18/03,60,20994, ,U,4.69,1,4.35,1.32,1,,,,,,
3,694,4/21/03,60,18998, ,U,4.69,1,5.15,1.32,1,,,,,,
2,703,4/22/03,60,20940, ,U,4.69,1,4.35,1.32,1,,,,,,
1,705,4/22/03,60,24357, ,U,4.69,1,4.49,1.32,3,,,,,,
3,691,4/22/03,60,24000, ,U,4.69,1,4.65,1.32,3,,,,,,
3,696,4/25/03,60,20246, ,U,4.69,1,5.15,1.32,3,,,,,,
2,708,4/25/03,60,19663, ,U,4.69,1,4.49,1.32,3,,,,,,
3,695,4/26/03,60,23535, ,U,4.69,1,4.95,1.32,1,,,,,,
2,711,4/28/03,60,20339, ,U,4.69,1,4.35,1.32,1,,,,,,
3,694,4/30/03,60,19329, ,U,4.69,1,5.15,1.32,1,,,,,,
2,705,5/1/03,60,18383, ,U,4.69,1,4.35,1.31,3,,,,,,
3,698,5/1/03,60,21633, ,U,4.69,1,5.15,1.31,1,,,,,,
2,707,5/2/03,60,20407, ,U,4.69,1,4.35,1.31,3,,,,,,
2,709,5/5/03,60,24444, ,U,4.69,1,4.85,1.31,1,,,,,,
2,707,5/7/03,60,20597, ,U,4.69,1,4.49,1.31,3,,,,,,
2,712,5/9/03,60,22305, ,U,4.69,1,4.35,1.31,1,,,,,,
3,687,5/12/03,60,20072, ,U,4.69,1,6.49,1.31,3,,,,,,
2,700,5/11/03,60,20745, ,U,4.69,1,4.35,1.31,3,,,,,,
3,686,5/13/03,60,18451, ,U,4.69,1,5.15,1.31,1,,,,,,
3,698,5/14/03,60,20644, ,U,4.69,1,5.15,1.31,3,,,,,,
2,702,5/13/03,60,24050, ,U,4.69,1,4.35,1.31,1,,,,,,
3,698,5/15/03,60,21554, ,U,4.69,1,5.15,1.32,1,,,,,,
2,711,5/15/03,60,19309, ,U,4.69,1,4.85,1.32,3,,,,,,
2,704,5/17/03,60,20000, ,U,4.69,1,4.85,1.32,1,,,,,,
3,686,5/18/03,60,21320, ,U,4.69,1,5.15,1.32,1,,,,,,
3,690,5/19/03,60,18342, ,U,4.69,1,4.65,1.32,1,,,,,,
2,707,5/22/03,60,23615, ,U,4.69,1,4.35,1.32,1,,,,,,
2,706,5/22/03,60,20675, ,U,4.69,1,4.35,1.32,3,,,,,,
3,689,5/22/03,60,23500, ,U,4.69,1,4.99,1.32,3,,,,,,
3,689,5/23/03,60,19521, ,U,4.49,1,5.15,1.32,1,,,,,,
3,696,5/23/03,60,25000, ,U,4.49,1,4.95,1.32,1,,,,,,
2,708,5/24/03,60,19357, ,U,4.49,1,4.64,1.32,1,,,,,,
2,709,5/30/03,60,19609, ,U,4.49,1,4.29,1.32,2,,,,,,
3,686,5/31/03,60,20257, ,U,4.49,1,4.95,1.32,3,,,,,,
2,703,5/31/03,60,22721, ,U,4.49,1,4.29,1.32,1,,,,,,
2,712,6/2/03,60,18330, ,U,4.49,1,4.49,1.32,1,,,,,,
2,709,6/2/03,60,21343, ,U,4.49,1,4.35,1.32,3,,,,,,
3,689,6/2/03,60,20000, ,U,4.49,1,5.15,1.32,3,,,,,,
2,705,6/2/03,60,23045, ,U,4.49,1,4.49,1.32,1,,,,,,
2,701,6/3/03,60,18732, ,U,4.49,1,4.35,1.32,1,,,,,,
2,712,6/4/03,60,24912, ,U,4.49,1,4.29,1.31,3,,,,,,
3,695,6/5/03,60,20590, ,U,4.49,1,5.15,1.29,3,,,,,,
3,690,6/7/03,60,19685, ,U,4.49,1,5.15,1.27,3,,,,,,
2,700,6/10/03,60,24000, ,U,4.29,1,4.29,1.25,3,,,,,,
2,711,6/12/03,60,18408, ,U,4.29,1,4.35,1.18,1,,,,,,
2,707,6/15/03,60,18614, ,U,4.29,1,4.85,1.14,1,,,,,,
2,707,6/16/03,60,19476, ,U,4.29,1,4.35,1.11,3,,,,,,
2,700,6/20/03,60,21903, ,U,4.29,1,4.35,1.04,3,,,,,,
2,703,6/21/03,60,18000, ,U,4.29,1,4.35,1.04,3,,,,,,
2,707,6/23/03,60,19438, ,U,4.29,1,4.29,1.04,3,,,,,,
2,711,6/23/03,60,17987, ,U,4.29,1,4.35,1.04,3,,,,,,
2,712,6/23/03,60,22800, ,U,4.29,1,4.29,1.04,1,,,,,,
2,711,6/23/03,60,20070, ,U,4.29,1,4.35,1.04,1,,,,,,
3,698,6/26/03,60,24482, ,U,4.29,1,5.15,1.11,3,,,,,,
2,707,6/27/03,60,21618, ,U,4.09,1,4.49,1.12,1,,,,,,
2,701,6/28/03,60,22999, ,U,4.09,1,4.35,1.12,3,,,,,,
3,692,7/1/03,60,21673, ,U,4.09,1,5.15,1.12,1,,,,,,
3,699,7/1/03,60,20000, ,U,4.09,1,5.15,1.12,1,,,,,,
2,705,7/1/03,60,20131, ,U,4.09,1,4.29,1.12,1,,,,,,
3,690,7/1/03,60,21960, ,U,4.09,1,4.89,1.12,1,,,,,,
2,702,7/1/03,60,22501, ,U,4.09,1,4.35,1.12,1,,,,,,
3,686,7/2/03,60,18837, ,U,4.09,1,5.15,1.12,3,,,,,,
3,696,7/8/03,60,19535, ,U,4.09,1,5.15,1.11,1,,,,,,
2,708,7/4/03,60,23451, ,U,4.09,1,4.35,1.12,1,,,,,,
2,710,7/7/03,60,22800, ,U,4.09,1,4.29,1.11,1,,,,,,
3,687,7/9/03,60,22717, ,U,4.09,1,5.15,1.11,3,,,,,,
3,685,7/9/03,60,23000, ,U,4.09,1,5.15,1.11,1,,,,,,
2,708,7/16/03,60,18949, ,U,4.09,1,4.29,1.10,1,,,,,,
2,702,7/18/03,60,22778, ,U,4.09,1,4.35,1.10,3,,,,,,
3,687,7/18/03,60,24862, ,U,4.09,1,5.15,1.10,1,,,,,,
3,687,7/21/03,60,24479, ,U,4.09,1,5.15,1.10,3,,,,,,
2,702,7/21/03,60,18140, ,U,4.09,1,4.35,1.10,1,,,,,,
3,693,7/21/03,60,25000, ,U,4.09,1,4.65,1.10,1,,,,,,
2,705,7/23/03,60,18094, ,U,4.09,1,4.35,1.10,3,,,,,,
2,704,7/24/03,60,23010, ,U,4.09,1,4.49,1.10,1,,,,,,
3,690,7/25/03,60,18590, ,U,4.29,1,5.15,1.10,1,,,,,,
3,686,7/25/03,60,17984, ,U,4.29,1,5.15,1.10,1,,,,,,
2,706,7/28/03,60,23251, ,U,4.29,1,4.35,1.10,3,,,,,,
3,690,7/29/03,60,18256, ,U,4.29,1,5.15,1.10,1,,,,,,
2,706,7/30/03,60,23420, ,U,4.29,1,4.35,1.10,1,,,,,,
2,706,8/1/03,60,20087, ,U,4.29,1,4.35,1.11,3,,,,,,
2,703,8/5/03,60,22100, ,U,4.55,1,4.89,1.11,1,,,,,,
3,685,8/6/03,60,21505, ,U,4.55,1,5.55,1.11,3,,,,,,
3,685,8/6/03,60,18562, ,U,4.55,0,5.55,1.11,3,,,,,,
2,711,8/6/03,60,19995, ,U,4.55,1,4.89,1.11,3,,,,,,
2,702,8/7/03,60,21000, ,U,4.55,1,4.89,1.11,3,,,,,,
3,694,8/7/03,60,17815, ,U,4.55,1,5.55,1.11,3,,,,,,
2,701,8/7/03,60,19669, ,U,4.55,1,4.89,1.11,3,,,,,,
3,690,8/7/03,60,19705, ,U,4.55,1,5.55,1.11,1,,,,,,
